"B cells"	"Interferon"	"Macrophages"	"Monocytes"	"Neutrophils"	"NK cells"	"Plasma cells"	"Proliferation"	"T cells"	"Translation"
"X1290906"	3.14284649945476	5.11287175106479	3.38948336223732	4.21715458112371	5.1734636578503	NA	3.28088028500803	6.97697076737057	3.29065034082384	9.45380461749902
"X753586"	3.06027203384405	5.65378533194798	3.72552265323018	4.55539785581224	3.53095881412763	NA	3.01012136018847	7.45469729834303	3.29070208774568	9.70417544454729
"X905941"	3.04447549355709	5.89887239962322	3.40714558486483	4.5904544785735	3.35636404122461	NA	3.10362611526438	7.29511817892917	3.29089410322836	9.71454933791688
"X753561"	3.13691758327487	4.43212932652255	3.47746649845813	4.28111041823315	3.59873070000799	NA	3.28092214935673	7.7797423090124	3.29130307223927	9.74389432299753
"X1240170"	3.18363211199207	5.0287427924134	3.42366669969587	4.29098952574685	3.47617694049495	NA	3.12303228481032	7.69383706276016	3.29230053472335	9.39070922910616
"X908151"	3.16704852329949	4.05618860941117	3.28062789773751	4.14552819936474	4.85745531644991	NA	4.11575751244313	7.70323667290992	3.29387619107524	10.0654513774417
"X684052"	3.05902315315733	4.45606720184705	3.57091018585022	3.95573178704629	3.60014186586623	NA	2.96650989631888	7.85783425423255	3.29448594634991	9.69903464651026
"X688121"	3.14390243440445	4.83501270292857	3.88110415979713	4.44541765358041	3.60227171354923	NA	3.03887077886343	5.98754203489063	3.29521191668172	9.9592021487749
"X908482"	3.14699394390954	4.43939965509001	3.52591529282277	4.1773587224835	3.39197238501909	NA	3.36518339151782	7.89665056168687	3.29593557960689	9.72072708138523
"X910701"	3.08094217095989	6.90119292442931	3.87670475393935	4.48116718759434	5.9290387176962	NA	3.07955319902373	6.15848427317778	3.29748452506446	9.02112966917047
"X1298358"	3.18688536155246	4.5132880265243	3.64399032339997	4.37484954656806	3.5499610250789	NA	3.06995034761646	5.33667985357379	3.29803136817233	9.86659925599998
"X905937"	3.17494975790748	4.90252963524496	3.4066291070698	4.49424644114989	3.76423205256149	NA	2.97561139467361	7.20756667293279	3.29853714813201	10.0120892688029
"X924106"	3.18572584747849	3.81960546409255	3.36307996829223	4.37574442206217	3.75023843056825	NA	3.14513048928447	6.61916708085345	3.29860371364621	9.82866806135414
"X908119"	3.12459939560243	4.93944402128279	3.40704870255777	4.39096449196655	3.90287178840055	NA	3.45154038439538	7.6781516321067	3.29869206700019	9.72391468752548
"X724834"	3.26178132738119	5.36135816292479	3.80811034214348	4.30223728603513	3.40637147160959	NA	3.22948657116789	7.80428968626187	3.29873053798468	9.74201316188012
"X1240173"	3.13962997642792	4.95472363604836	4.02784728225219	4.61565588434927	3.43692656059496	NA	3.01893815566286	6.02688023996997	3.29921833692158	9.85481567796414
"X1298349"	3.29465192797757	4.6369102945381	3.48266744095694	4.47334134745622	3.54119352131312	NA	3.40391567365656	7.18103753427823	3.30013780992947	9.30575593986593
